glider_sn, 1012
deployment_number, 3
fin_type, radome
glider_type, G3
length_days, 67.88472222222222
launch_datetime, 2023-12-13T19:46:00
end_datetime, 2024-02-19T17:00:00
log file,open time,disconnect,in-mission,data transfer drop,flight xfer drop,science xfer drop,other data xfer drop
ce_1012_20240117T225945_network_net_0.log,2024-01-17T22:59:45,True,True,False,False,False,False
ce_1012_20240118T065636_network_net_1.log,2024-01-18T06:56:36,True,True,False,False,False,False
ce_1012_20240118T144612_network_net_0.log,2024-01-18T14:46:12,False,True,True,False,True,False
ce_1012_20240118T224740_network_net_0.log,2024-01-18T22:47:40,True,True,False,False,False,False
ce_1012_20240119T065806_network_net_1.log,2024-01-19T06:58:06,False,True,True,False,True,False
ce_1012_20240119T145735_network_net_0.log,2024-01-19T14:57:35,True,True,False,False,False,False
ce_1012_20240119T230821_network_net_0.log,2024-01-19T23:08:21,False,True,True,False,True,False
ce_1012_20240120T070336_network_net_1.log,2024-01-20T07:03:36,False,True,True,False,True,False
ce_1012_20240120T071946_network_net_0.log,2024-01-20T07:19:46,True,True,False,False,False,False
ce_1012_20240120T121342_network_net_0.log,2024-01-20T12:13:42,True,False,False,False,False,False
ce_1012_20240120T140558_network_net_0.log,2024-01-20T14:05:58,True,False,False,False,False,False
ce_1012_20240120T142528_network_net_0.log,2024-01-20T14:25:28,False,True,False,False,False,False
ce_1012_20240120T143354_network_net_0.log,2024-01-20T14:33:54,False,True,False,False,False,False
ce_1012_20240120T143648_network_net_0.log,2024-01-20T14:36:48,False,True,False,False,False,False
ce_1012_20240120T144247_network_net_0.log,2024-01-20T14:42:47,False,True,False,False,False,False
ce_1012_20240120T144811_network_net_0.log,2024-01-20T14:48:11,False,True,False,False,False,False
ce_1012_20240120T145621_network_net_0.log,2024-01-20T14:56:21,False,True,False,False,False,False
ce_1012_20240120T145946_network_net_0.log,2024-01-20T14:59:46,False,True,False,False,False,False
ce_1012_20240120T150527_network_net_0.log,2024-01-20T15:05:27,False,True,False,False,False,False
ce_1012_20240120T151103_network_net_0.log,2024-01-20T15:11:03,False,True,False,False,False,False
ce_1012_20240120T151834_network_net_0.log,2024-01-20T15:18:34,False,True,False,False,False,False
ce_1012_20240120T152232_network_net_0.log,2024-01-20T15:22:32,False,True,False,False,False,False
ce_1012_20240120T152821_network_net_0.log,2024-01-20T15:28:21,False,True,False,False,False,False
ce_1012_20240120T153403_network_net_0.log,2024-01-20T15:34:03,False,True,False,False,False,False
ce_1012_20240120T153947_network_net_0.log,2024-01-20T15:39:47,False,True,False,False,False,False
ce_1012_20240120T154701_network_net_0.log,2024-01-20T15:47:01,False,True,False,False,False,False
ce_1012_20240120T155112_network_net_0.log,2024-01-20T15:51:12,True,True,False,False,False,False
ce_1012_20240120T164345_network_net_0.log,2024-01-20T16:43:45,True,False,False,False,False,False
ce_1012_20240120T180509_network_net_0.log,2024-01-20T18:05:09,True,False,False,False,False,False
ce_1012_20240120T180850_network_net_0.log,2024-01-20T18:08:50,True,False,False,False,False,False
ce_1012_20240120T184209_network_net_0.log,2024-01-20T18:42:09,True,False,False,False,False,False
ce_1012_20240120T191519_network_net_0.log,2024-01-20T19:15:19,True,False,False,False,False,False
ce_1012_20240120T194834_network_net_0.log,2024-01-20T19:48:34,True,False,False,False,False,False
ce_1012_20240120T202148_network_net_0.log,2024-01-20T20:21:48,True,False,False,False,False,False
ce_1012_20240120T205551_network_net_0.log,2024-01-20T20:55:51,False,False,False,False,False,False
ce_1012_20240120T231631_network_net_0.log,2024-01-20T23:16:31,True,False,False,False,False,False
ce_1012_20240120T232109_network_net_0.log,2024-01-20T23:21:09,False,True,False,False,False,False
ce_1012_20240120T232734_network_net_0.log,2024-01-20T23:27:34,False,True,False,False,False,False
ce_1012_20240120T233257_network_net_0.log,2024-01-20T23:32:57,False,True,False,False,False,False
ce_1012_20240120T233834_network_net_0.log,2024-01-20T23:38:34,False,True,False,False,False,False
ce_1012_20240120T234627_network_net_0.log,2024-01-20T23:46:27,False,True,False,False,False,False
ce_1012_20240120T235006_network_net_0.log,2024-01-20T23:50:06,False,True,False,False,False,False
ce_1012_20240120T235544_network_net_0.log,2024-01-20T23:55:44,False,True,False,False,False,False
ce_1012_20240121T000137_network_net_0.log,2024-01-21T00:01:37,False,True,False,False,False,False
ce_1012_20240121T000720_network_net_0.log,2024-01-21T00:07:20,False,True,False,False,False,False
ce_1012_20240121T001309_network_net_0.log,2024-01-21T00:13:09,False,True,False,False,False,False
ce_1012_20240121T001842_network_net_0.log,2024-01-21T00:18:42,False,True,False,False,False,False
ce_1012_20240121T002444_network_net_0.log,2024-01-21T00:24:44,False,True,False,False,False,False
ce_1012_20240121T003053_network_net_0.log,2024-01-21T00:30:53,False,True,False,False,False,False
ce_1012_20240121T003814_network_net_0.log,2024-01-21T00:38:14,False,True,False,False,False,False
ce_1012_20240121T004214_network_net_0.log,2024-01-21T00:42:14,False,True,False,False,False,False
ce_1012_20240121T004713_network_net_0.log,2024-01-21T00:47:13,False,True,False,False,False,False
ce_1012_20240121T005304_network_net_0.log,2024-01-21T00:53:04,False,True,False,False,False,False
ce_1012_20240121T005847_network_net_0.log,2024-01-21T00:58:47,False,True,False,False,False,False
ce_1012_20240121T010425_network_net_0.log,2024-01-21T01:04:25,False,False,True,False,False,True
ce_1012_20240121T011309_network_net_0.log,2024-01-21T01:13:09,False,False,True,False,False,True
ce_1012_20240121T012127_network_net_0.log,2024-01-21T01:21:27,False,False,True,False,False,True
ce_1012_20240121T013124_network_net_0.log,2024-01-21T01:31:24,False,False,True,False,False,True
ce_1012_20240121T014040_network_net_0.log,2024-01-21T01:40:40,True,False,False,False,False,False
ce_1012_20240121T021245_network_net_0.log,2024-01-21T02:12:45,False,False,True,False,False,True
ce_1012_20240121T054805_network_net_0.log,2024-01-21T05:48:05,False,False,True,False,False,True
ce_1012_20240121T062612_network_net_0.log,2024-01-21T06:26:12,False,False,True,False,False,True
ce_1012_20240121T070333_network_net_0.log,2024-01-21T07:03:33,False,False,True,False,False,True
ce_1012_20240121T071257_network_net_0.log,2024-01-21T07:12:57,False,False,True,False,False,True
ce_1012_20240121T075743_network_net_0.log,2024-01-21T07:57:43,True,False,False,False,False,False
ce_1012_20240121T090750_network_net_0.log,2024-01-21T09:07:50,False,False,False,False,False,False
ce_1012_20240121T113136_network_net_0.log,2024-01-21T11:31:36,False,True,False,False,False,False
ce_1012_20240121T113813_network_net_0.log,2024-01-21T11:38:13,False,True,False,False,False,False
ce_1012_20240121T114311_network_net_0.log,2024-01-21T11:43:11,True,False,False,False,False,False
ce_1012_20240121T124615_network_net_0.log,2024-01-21T12:46:15,True,False,False,False,False,False
ce_1012_20240121T134927_network_net_0.log,2024-01-21T13:49:27,True,False,False,False,False,False
ce_1012_20240121T145244_network_net_0.log,2024-01-21T14:52:44,True,False,False,False,False,False
ce_1012_20240121T155601_network_net_0.log,2024-01-21T15:56:01,True,False,False,False,False,False
ce_1012_20240121T165922_network_net_0.log,2024-01-21T16:59:22,True,False,False,False,False,False
ce_1012_20240121T180237_network_net_0.log,2024-01-21T18:02:37,True,False,False,False,False,False
ce_1012_20240121T190549_network_net_0.log,2024-01-21T19:05:49,True,False,False,False,False,False
ce_1012_20240121T200859_network_net_0.log,2024-01-21T20:08:59,True,False,False,False,False,False
ce_1012_20240121T211217_network_net_0.log,2024-01-21T21:12:17,True,False,False,False,False,False
ce_1012_20240121T221527_network_net_1.log,2024-01-21T22:15:27,True,False,False,False,False,False
ce_1012_20240121T231950_network_net_0.log,2024-01-21T23:19:50,True,False,False,False,False,False
ce_1012_20240122T002310_network_net_0.log,2024-01-22T00:23:10,True,False,False,False,False,False
ce_1012_20240122T012623_network_net_0.log,2024-01-22T01:26:23,True,False,False,False,False,False
ce_1012_20240122T022940_network_net_0.log,2024-01-22T02:29:40,True,False,False,False,False,False
ce_1012_20240122T033257_network_net_0.log,2024-01-22T03:32:57,True,False,False,False,False,False
ce_1012_20240122T043615_network_net_0.log,2024-01-22T04:36:15,True,False,False,False,False,False
ce_1012_20240122T054153_network_net_0.log,2024-01-22T05:41:53,True,False,False,False,False,False
ce_1012_20240122T064516_network_net_0.log,2024-01-22T06:45:16,True,False,False,False,False,False
ce_1012_20240122T074832_network_net_0.log,2024-01-22T07:48:32,True,False,False,False,False,False
ce_1012_20240122T111213_network_net_0.log,2024-01-22T11:12:13,False,True,False,False,False,False
ce_1012_20240122T111803_network_net_0.log,2024-01-22T11:18:03,False,True,False,False,False,False
